#,Player,Dates,Wins,Years Won (≤2000)
1,"Steinitz, Wilhelm","1886-94",4,"1886, 1889, 1890, 1892"
2,"Lasker, Emanuel","1894-1921",6,"1894, 1896, 1907, 1908, 1910*, 1910"
3,"Capablanca, José R","1921-27",1,"1921"
4,"Alekhine, Alexander A","1927-35, 1937-46",4,"1927, 1929, 1934, 1937"
5,"Euwe, Machgielis","1935-37",1,"1935"
6,"Botvinnik, Mikhail M","1948-57, 1958-60, 1961-63",5,"1948†, 1951*, 1954*, 1958, 1961"
7,"Smyslov, Vassily V","1957-58",1,"1957"
8,"Tal, Mikhail","1960-61",1,"1960"
9,"Petrosian, Tigran V","1963-69",2,"1963, 1966"
10,"Spassky, Boris V","1969-72",1,"1969"
11,"Fischer, Robert J","1972-75",1,"1972"
12,"Karpov, Anatoly E","1975-85",4,"1975d, 1978, 1981, 1984#"
13,"Kasparov, Garry K","1985-2000",6,"1985, 1986, 1987*, 1990, 1993, 1995"
14,"Kramnik, Vladimir","2000-07",3,"2000"

